distancia_m,archivo,fs_hz,pico_v,ancho_s,centroide_hz
0.0,000m_muestra_20260703_120505_001_start_1.npz,2929.0,3.5133991212933324,0.0027313076135199728,117.60918363386557
0.0,000m_muestras34metros_20260703_155153_001_start_1.npz,2929.0,3.4890804975293577,0.0027313076135199728,117.53983326544174
0.0,000m_muestras34metros_20260703_155153_002_start_2.npz,2929.0,3.4870396545156837,0.0030727210652099694,114.15488198038031
0.0,000m_muestras34metros_20260703_155153_003_start_3.npz,2929.0,3.468652946583461,0.0030727210652099694,114.48512936979296
0.0,000m_muestras34metros_20260703_155153_004_start_4.npz,2929.0,3.4835682045668364,0.0030727210652099694,113.13624279452961
0.0,000m_muestras34metros_20260703_155153_005_start_5.npz,2929.0,3.4836922630202025,0.0030727210652099694,113.2328669783878
0.0,000m_muestras34metros_20260703_155153_006_start_6.npz,2929.0,3.4841595265315846,0.0030727210652099694,113.54717690201207
0.0,000m_muestras34metros_20260703_155153_007_actual.npz,2929.0,3.484159466752317,0.0030727210652099694,113.54717687670852
10.0,010m_muestra10_20_20260708_201109_001_start_41.npz,1020.0,2.1090506429900415,0.0029411764705882353,105.32883002772196
10.0,010m_muestra10_20_20260708_201109_002_start_42.npz,1020.0,1.6911888413596898,0.00392156862745098,103.83627705801435
10.0,010m_muestra10_20_20260708_201109_003_start_43.npz,1020.0,1.5745544539531693,0.00392156862745098,96.39604902287829
10.0,010m_muestra10_20_20260708_201109_004_start_44.npz,1020.0,1.6641616680135485,0.0029411764705882353,100.36492640919302
10.0,010m_muestra10_20_20260708_201109_005_start_45.npz,1020.0,1.8494224424939603,0.00392156862745098,104.2598123602024
10.0,010m_muestra10_20_20260708_201109_006_start_46.npz,1020.0,2.0234489970607683,0.0029411764705882353,104.58777134970573
10.0,010m_muestra10_20_20260708_201109_008_start_48.npz,1020.0,1.8163490445585921,0.0029411764705882353,102.801518225943
10.0,010m_muestra10_20_20260708_201109_009_start_49.npz,1020.0,1.6043472749224748,0.0029411764705882353,96.42523000758538
10.0,010m_muestra10_20_20260708_201109_010_start_50.npz,1020.0,1.7647742686458514,0.0029411764705882353,103.79877215311014
10.0,010m_muestra10_20_20260708_201109_011_start_51.npz,1020.0,1.842536903306609,0.0029411764705882353,108.18801923136579
10.0,010m_muestra10_20_20260708_201109_012_start_52.npz,1020.0,1.7406081879598787,0.0029411764705882353,99.81949178550433
10.0,010m_muestra10_20_20260708_201109_013_start_53.npz,1020.0,1.8509482975350693,0.0029411764705882353,102.56674298677078
10.0,010m_muestra10_20_20260708_201109_014_start_54.npz,1020.0,1.9058227936038747,0.0029411764705882353,103.63118350194226
10.0,010m_muestra10_20_20260708_201109_015_start_55.npz,1020.0,1.7713928390294313,0.0029411764705882353,98.98883177351192
10.0,010m_muestra10_20_20260708_201109_016_start_56.npz,1020.0,1.9811248346231878,0.0029411764705882353,103.94117405475426
10.0,010m_muestra10_20_20260708_201109_017_start_57.npz,1020.0,1.9771575583145022,0.0029411764705882353,106.71281049040742
10.0,010m_muestra10_20_20260708_201109_018_start_58.npz,1020.0,2.1557235364598455,0.0029411764705882353,110.41162951364134
10.0,010m_muestra10_20_20260708_201109_019_start_59.npz,1020.0,1.7811203585588373,0.00392156862745098,106.14468623752971
10.0,010m_muestra10_20_20260708_201109_020_start_60.npz,1020.0,1.7685699330436364,0.0029411764705882353,97.99937110488571
10.0,010m_muestra10_20_20260708_201109_021_start_61.npz,1020.0,1.6536522140959278,0.00392156862745098,97.6504708398772
10.0,010m_muestra10_20_20260708_201109_022_actual.npz,1020.0,1.6536521911621094,0.00392156862745098,97.65047031182888
10.0,010m_muestras10_20260703_181003_001_start_21.npz,2929.0,3.496805262286216,0.004438374871969956,105.37784153774153
10.0,010m_muestras10_20260703_181003_002_start_22.npz,2929.0,3.4912928845733404,0.0064868555821099355,122.4650286331099
10.0,010m_muestras10_20260703_181003_003_start_23.npz,2929.0,3.4875545389950275,0.003414134516899966,108.21844273317296
10.0,010m_muestras10_20260703_181003_004_start_24.npz,2929.0,3.484788916539401,0.003414134516899966,108.2906301132191
10.0,010m_muestras10_20260703_181003_005_start_25.npz,2929.0,3.5397299863398075,0.012632297712529874,79.80733450837188
10.0,010m_muestras10_20260703_181003_006_start_26.npz,2929.0,3.5027178563177586,0.0037555479685899623,106.26832545493126
10.0,010m_muestras10_20260703_181003_007_start_27.npz,2929.0,3.4898433908820152,0.003414134516899966,111.85962209624756
10.0,010m_muestras10_20260703_181003_008_start_28.npz,2929.0,3.489032842684537,0.0037555479685899623,106.31805433106332
10.0,010m_muestras10_20260703_181003_009_start_29.npz,2929.0,3.491369230207056,0.004096961420279959,106.9281191095231
10.0,010m_muestras10_20260703_181003_010_start_30.npz,2929.0,3.4820995493791997,0.003414134516899966,108.60210233254489
