layer,top_m,bottom_m,vs_m_s,source
1,0.0,0.6794622555798255,57.67176387803284,inversion_hidroguiada_sin_SEV
2,0.6794622555798255,1.638025083137389,91.68891913088112,inversion_hidroguiada_sin_SEV
3,1.638025083137389,3.637130717106235,96.16076697375631,inversion_hidroguiada_sin_SEV
4,3.637130717106235,6.21666688278537,96.8969914748113,inversion_hidroguiada_sin_SEV
5,6.21666688278537,inf,105.59417125591011,inversion_hidroguiada_sin_SEV
